-DZSGRA,http://codes.wmo.int/306/4678/-DZSGRA
-DZSN,http://codes.wmo.int/306/4678/-DZSN
-DZSNRA,http://codes.wmo.int/306/4678/-DZSNRA
-FZDZ,http://codes.wmo.int/306/4678/-FZDZ
-FZDZRA,http://codes.wmo.int/306/4678/-FZDZRA
-FZRA,http://codes.wmo.int/306/4678/-FZRA
-FZRADZ,http://codes.wmo.int/306/4678/-FZRADZ
-FZUP,http://codes.wmo.int/306/4678/-FZUP
-PL,http://codes.wmo.int/306/4678/-PL
-PLDZ,http://codes.wmo.int/306/4678/-PLDZ
-PLDZRA,http://codes.wmo.int/306/4678/-PLDZRA
-PLRA,http://codes.wmo.int/306/4678/-PLRA
-PLRADZ,http://codes.wmo.int/306/4678/-PLRADZ
-PLRASN,http://codes.wmo.int/306/4678/-PLRASN
-PLSG,http://codes.wmo.int/306/4678/-PLSG
-PLSGSN,http://codes.wmo.int/306/4678/-PLSGSN
-PLSN,http://codes.wmo.int/306/4678/-PLSN
-PLSNRA,http://codes.wmo.int/306/4678/-PLSNRA
-PLSNSG,http://codes.wmo.int/306/4678/-PLSNSG
-RA,http://codes.wmo.int/306/4678/-RA
-RADZ,http://codes.wmo.int/306/4678/-RADZ
-RADZPL,http://codes.wmo.int/306/4678/-RADZPL
-RADZSG,http://codes.wmo.int/306/4678/-RADZSG
-RADZSN,http://codes.wmo.int/306/4678/-RADZSN
-RAPL,http://codes.wmo.int/306/4678/-RAPL
-RAPLDZ,http://codes.wmo.int/306/4678/-RAPLDZ
-RAPLSN,http://codes.wmo.int/306/4678/-RAPLSN
-RASG,http://codes.wmo.int/306/4678/-RASG
-RASGDZ,http://codes.wmo.int/306/4678/-RASGDZ
-RASGSN,http://codes.wmo.int/306/4678/-RASGSN
-RASN,http://codes.wmo.int/306/4678/-RASN
-RASNDZ,http://codes.wmo.int/306/4678/-RASNDZ
-RASNPL,http://codes.wmo.int/306/4678/-RASNPL
-RASNSG,http://codes.wmo.int/306/4678/-RASNSG
-SG,http://codes.wmo.int/306/4678/-SG
-SGDZ,http://codes.wmo.int/306/4678/-SGDZ
-SGDZRA,http://codes.wmo.int/306/4678/-SGDZRA
-SGPL,http://codes.wmo.int/306/4678/-SGPL
-SGPLSN,http://codes.wmo.int/306/4678/-SGPLSN
-SGRA,http://codes.wmo.int/306/4678/-SGRA
-SGRADZ,http://codes.wmo.int/306/4678/-SGRADZ
-SGRASN,http://codes.wmo.int/306/4678/-SGRASN
-SGSN,http://codes.wmo.int/306/4678/-SGSN
-SGSNPL,http://codes.wmo.int/306/4678/-SGSNPL
-SGSNRA,http://codes.wmo.int/306/4678/-SGSNRA
-SHGR,http://codes.wmo.int/306/4678/-SHGR
-SHGRRA,http://codes.wmo.int/306/4678/-SHGRRA
